hour_start_iso,hour_start_ms,open,high,low,close,volume,trades_count,vwap
2025-06-30T06:00:00+00:00,1751263200000,41.181,41.198,39.756,39.996,314291.81,,
2025-06-30T07:00:00+00:00,1751266800000,39.994,40.333,39.864,40.052,128451.03,,
2025-06-30T08:00:00+00:00,1751270400000,40.059,40.191,39.52,39.781,168147.24,,
2025-06-30T09:00:00+00:00,1751274000000,39.786,40.056,39.761,39.808,89690.19,,
2025-06-30T10:00:00+00:00,1751277600000,39.814,40.073,39.748,39.828,115703.81,,
2025-06-30T11:00:00+00:00,1751281200000,39.827,40.089,39.725,39.957,91825.11,,
2025-06-30T12:00:00+00:00,1751284800000,39.956,40.097,39.788,39.886,105623.78,,
2025-06-30T13:00:00+00:00,1751288400000,39.886,40.358,39.838,39.996,160487.23,,
2025-06-30T14:00:00+00:00,1751292000000,39.994,40.294,39.48,39.496,238273.09,,
2025-06-30T15:00:00+00:00,1751295600000,39.496,40.157,39.204,39.917,410511.27,,
2025-06-30T16:00:00+00:00,1751299200000,39.917,40.739,39.709,40.588,278754.92,,
2025-06-30T17:00:00+00:00,1751302800000,40.593,40.72,40.244,40.624,188517.16,,
2025-06-30T18:00:00+00:00,1751306400000,40.624,40.7,40.051,40.237,147406.54,,
2025-06-30T19:00:00+00:00,1751310000000,40.242,40.894,40.212,40.855,127200.15,,
2025-06-30T20:00:00+00:00,1751313600000,40.853,41.05,40.398,40.915,296840.71,,
2025-06-30T21:00:00+00:00,1751317200000,40.91,41.19,40.531,40.631,195233.09,,
2025-06-30T22:00:00+00:00,1751320800000,40.631,40.714,39.946,40.047,172064.44,,
2025-06-30T23:00:00+00:00,1751324400000,40.055,40.157,39.363,39.571,129660.51,,
2025-07-01T00:00:00+00:00,1751328000000,39.572,39.674,39.052,39.288,194294.73,,
2025-07-01T01:00:00+00:00,1751331600000,39.289,39.811,39.251,39.45,128081.78,,
2025-07-01T02:00:00+00:00,1751335200000,39.451,39.757,39.321,39.369,92513.46,,
2025-07-01T03:00:00+00:00,1751338800000,39.37,39.581,39.177,39.463,106212.78,,
2025-07-01T04:00:00+00:00,1751342400000,39.468,39.473,38.882,39.018,92175.52,,
2025-07-01T05:00:00+00:00,1751346000000,39.023,39.163,38.44,38.823,217523.36,,
2025-07-01T06:00:00+00:00,1751349600000,38.832,38.853,38.666,38.772,80218.41,,
2025-07-01T07:00:00+00:00,1751353200000,38.782,39.125,38.485,38.989,190078.75,,
2025-07-01T08:00:00+00:00,1751356800000,38.972,39.057,38.578,38.72,102256.95,,
2025-07-01T09:00:00+00:00,1751360400000,38.72,39.137,38.59,39.033,110689.21,,
2025-07-01T10:00:00+00:00,1751364000000,39.032,39.322,38.893,39.273,105326.82,,
2025-07-01T11:00:00+00:00,1751367600000,39.27,39.448,39.092,39.321,114054.92,,
2025-07-01T12:00:00+00:00,1751371200000,39.316,39.47,39.072,39.166,78041.54,,
2025-07-01T13:00:00+00:00,1751374800000,39.166,39.256,38.698,38.995,269361.99,,
2025-07-01T14:00:00+00:00,1751378400000,38.995,39.412,38.45,38.872,300956.78,,
2025-07-01T15:00:00+00:00,1751382000000,38.875,39.109,38.581,39.024,245070.24,,
2025-07-01T16:00:00+00:00,1751385600000,39.024,39.479,38.807,38.843,169966.66,,
