ts,close,signal_score,score_smooth,rsi_14,bb_pctB,funding_bps,bull_regime,buy_alert,sell_alert,alert_confidence,alert_reasons
2025-02-22 01:00:00+00:00,24.897,1,1.7636411644438643,50.93737269693647,,,1,0,0,0.0,
2025-02-22 02:00:00+00:00,24.898,1,1.4581846986663185,50.9556245678917,,,1,0,0,0.0,
2025-02-22 03:00:00+00:00,24.836,1,1.274910819199791,49.72061741095135,,,1,0,0,0.0,
2025-02-22 04:00:00+00:00,24.826,1,1.1649464915198746,49.51217678942014,,,1,0,0,0.0,
2025-02-22 05:00:00+00:00,24.843,1,1.0989678949119248,49.89672040523956,,,1,0,0,0.0,
2025-02-22 06:00:00+00:00,24.731,1,1.0593807369471548,47.33855992156981,,,1,0,0,0.0,
2025-02-22 07:00:00+00:00,24.431,-1,0.23562844216829287,41.23957106859676,,,0,0,0,0.0,
2025-02-22 08:00:00+00:00,24.3,-1,-0.2586229346990243,38.88373280221745,,,0,0,0,0.0,
2025-02-22 09:00:00+00:00,24.357,-1,-0.5551737608194146,40.47705635615546,,,0,0,0,0.0,
2025-02-22 10:00:00+00:00,24.521,-1,-0.7331042564916488,44.92591040079744,,,0,0,0,0.0,
2025-02-22 11:00:00+00:00,24.558,-1,-0.8398625538949893,45.908196011662255,,,1,0,0,0.0,
2025-02-22 12:00:00+00:00,24.656,-1,-0.9039175323369936,48.52686216202364,,,1,0,0,0.0,
2025-02-22 13:00:00+00:00,24.653,-1,-0.9423505194021962,48.44953747575238,,,1,0,0,0.0,
2025-02-22 14:00:00+00:00,24.595,-1,-0.9654103116413177,46.89377748972666,,,1,0,0,0.0,
2025-02-22 15:00:00+00:00,24.657,-1,-0.9792461869847906,48.78691549799063,,,1,0,0,0.0,
2025-02-22 16:00:00+00:00,24.599,1,-0.18754771219087432,47.09554903231678,,,1,0,0,0.0,
2025-02-22 17:00:00+00:00,24.447,-1,-0.5125286273145246,42.89821217261219,,,0,0,0,0.0,
2025-02-22 18:00:00+00:00,24.514,-1,-0.7075171763887148,45.215948388470814,,,0,0,0,0.0,
2025-02-22 19:00:00+00:00,24.791,2,0.3754896941667712,53.60111170550359,,,1,0,0,0.0,
2025-02-22 20:00:00+00:00,24.913,1,0.6252938165000628,56.741568961205004,,,1,0,0,0.0,
2025-02-22 21:00:00+00:00,24.844,1,0.7751762899000376,54.49501908946011,,,1,0,0,0.0,
2025-02-22 22:00:00+00:00,24.777,1,0.8651057739400225,52.328495761025984,,,1,0,0,0.0,
2025-02-22 23:00:00+00:00,24.783,3,1.7190634643640137,52.51057674304175,,,1,0,0,0.0,
2025-02-23 00:00:00+00:00,24.489,-1,0.6314380786184082,43.702302746012734,,,0,0,0,0.0,
2025-02-23 01:00:00+00:00,24.287,-2,-0.42113715282895514,38.87699083188034,,,0,0,0,0.0,
2025-02-23 02:00:00+00:00,24.291,-1,-0.6526822916973731,39.02057207913476,,,0,0,0,0.0,
2025-02-23 03:00:00+00:00,24.343,-1,-0.7916093750184239,40.96213588502735,,,0,0,0,0.0,
2025-02-23 04:00:00+00:00,24.185,-1,-0.8749656250110543,37.09715497882731,,,0,0,0,0.0,
2025-02-23 05:00:00+00:00,24.129,-1,-0.9249793750066326,35.80755490662328,,,0,0,0,0.0,
2025-02-23 06:00:00+00:00,24.343,-1,-0.9549876250039796,43.84168634092942,,,0,0,0,0.0,
2025-02-23 07:00:00+00:00,24.375,-1,-0.9729925750023878,44.95117772591266,,,0,0,0,0.0,
2025-02-23 08:00:00+00:00,24.19,-1,-0.9837955450014326,40.02764984449536,,,0,0,0,0.0,
2025-02-23 09:00:00+00:00,24.161,-1,-0.9902773270008596,39.30095942874304,,,0,0,0,0.0,
2025-02-23 10:00:00+00:00,23.81,-2,-1.3941663962005157,31.780507067523857,,,0,0,0,0.0,
2025-02-23 11:00:00+00:00,23.719,-2,-1.6364998377203095,30.168688332369257,,,0,0,0,0.0,
2025-02-23 12:00:00+00:00,23.462,-3,-2.181899902632186,26.136995353425377,,,0,0,0,0.0,
2025-02-23 13:00:00+00:00,23.727,-1,-1.7091399415793116,35.68170996876536,,,0,0,0,0.0,
2025-02-23 14:00:00+00:00,23.47,-1,-1.425483964947587,31.438713449233404,,,0,0,0,0.0,
2025-02-23 15:00:00+00:00,23.509,-1,-1.2552903789685521,32.74567674362116,,,0,0,0,0.0,
2025-02-23 16:00:00+00:00,23.663,-2,-1.5531742273811313,37.78873797198715,,,0,0,0,0.0,
2025-02-23 17:00:00+00:00,23.843,-1,-1.3319045364286788,43.15421985453731,,,0,0,0,0.0,
2025-02-23 18:00:00+00:00,23.701,-1,-1.1991427218572073,40.20807860954237,,,0,0,0,0.0,
2025-02-23 19:00:00+00:00,23.546,-1,-1.1194856331143244,37.22100180483377,,,0,0,0,0.0,
2025-02-23 20:00:00+00:00,23.358,-1,-1.0716913798685945,33.928620647051034,,,0,0,0,0.0,
2025-02-23 21:00:00+00:00,23.437,-1,-1.0430148279211566,36.471605958975914,,,0,0,0,0.0,
2025-02-23 22:00:00+00:00,23.074,-1,-1.025808896752694,30.63666819297684,,,0,0,0,0.0,
2025-02-23 23:00:00+00:00,23.133,-1,-1.0154853380516164,32.526167724076004,,,0,0,0,0.0,
2025-02-24 00:00:00+00:00,23.149,-1,-1.00929120283097,33.058721538053305,,,0,0,0,0.0,
2025-02-24 01:00:00+00:00,22.587,-3,-1.805574721698582,25.45801888747799,,,0,0,0,0.0,
2025-02-24 02:00:00+00:00,22.648,-2,-1.8833448330191491,27.40889328314387,,,0,0,0,0.0,
2025-02-24 03:00:00+00:00,22.259,-3,-2.33000689981149,23.23309186607173,,,0,0,0,0.0,
2025-02-24 04:00:00+00:00,21.843,-3,-2.598004139886894,19.765115653087435,,,0,0,0,0.0,
2025-02-24 05:00:00+00:00,21.968,-3,-2.7588024839321363,23.462095098756578,,,0,0,0,0.0,
