ts,close,strat_value,bh_value,target_pos,target_w
2024-02-13 00:00:00+00:00,49738.87,58381.21664336745,58381.21664336745,1,1.0
2024-02-14 00:00:00+00:00,51759.58,60753.033861639975,60753.033861639975,1,1.0
2024-02-15 00:00:00+00:00,51901.75,60919.90652220076,60919.90652220076,1,1.0
2024-02-16 00:00:00+00:00,52132.09,61190.26910666707,61190.26910666707,1,1.0
2024-02-17 00:00:00+00:00,51670.97,60649.02748580617,60649.02748580617,1,1.0
2024-02-18 00:00:00+00:00,52120.0,61176.07841618258,61176.07841618258,1,1.0
2024-02-19 00:00:00+00:00,51751.84,60743.949002719375,60743.949002719375,1,1.0
2024-02-20 00:00:00+00:00,52250.08,61328.76038625888,61328.76038625888,1,1.0
2024-02-21 00:00:00+00:00,51821.06,60825.196281076394,60825.196281076394,1,1.0
2024-02-22 00:00:00+00:00,51348.64,60270.691235693186,60270.691235693186,1,1.0
2024-02-23 00:00:00+00:00,50754.22,59572.98815564431,59572.98815564431,1,1.0
2024-02-24 00:00:00+00:00,51562.84,60522.10942442584,60522.10942442584,1,1.0
2024-02-25 00:00:00+00:00,51745.0,60735.92052274303,60735.92052274303,1,1.0
2024-02-26 00:00:00+00:00,54489.99,63957.864565176584,63957.864565176584,1,1.0
2024-02-27 00:00:00+00:00,57067.0,66982.64134643688,66982.64134643688,1,1.0
2024-02-28 00:00:00+00:00,62413.39,73257.99003952004,73257.99003952004,1,1.0
2024-02-29 00:00:00+00:00,61125.22,71745.99485660804,71745.99485660804,1,1.0
2024-03-01 00:00:00+00:00,62394.58,73235.91171958513,73235.91171958513,1,1.0
2024-03-02 00:00:00+00:00,62006.35,72780.22505566504,72780.22505566504,1,1.0
2024-03-03 00:00:00+00:00,63068.89,74027.38603725235,74027.38603725235,1,1.0
2024-03-04 00:00:00+00:00,68152.44,79994.22512843779,79994.22512843779,1,1.0
2024-03-05 00:00:00+00:00,63830.27,74921.05914900433,74921.05914900433,1,1.0
2024-03-06 00:00:00+00:00,66193.8,77695.26284468737,77695.26284468737,1,1.0
2024-03-07 00:00:00+00:00,66845.27,78459.92861225818,78459.92861225818,1,1.0
2024-03-08 00:00:00+00:00,68163.76,80007.51202804774,80007.51202804774,1,1.0
2024-03-09 00:00:00+00:00,68309.0,80177.98811456285,80177.98811456285,1,1.0
2024-03-10 00:00:00+00:00,68978.46,80963.76972347492,80963.76972347492,1,1.0
2024-03-11 00:00:00+00:00,72115.58,84645.97807192031,84645.97807192031,1,1.0
2024-03-12 00:00:00+00:00,71420.43,83830.04271292166,83830.04271292166,1,1.0
2024-03-13 00:00:00+00:00,73020.03,85707.58022317733,85707.58022317733,1,1.0
2024-03-14 00:00:00+00:00,71389.23,83793.42157618748,83793.42157618748,1,1.0
2024-03-15 00:00:00+00:00,69506.22,81583.23033638595,81583.23033638595,1,1.0
2024-03-16 00:00:00+00:00,65354.59,76710.23642934496,76710.23642934496,1,1.0
2024-03-17 00:00:00+00:00,68397.9,80282.33487916754,80282.33487916754,1,1.0
2024-03-18 00:00:00+00:00,67562.87,79302.21475714404,79302.21475714404,1,1.0
2024-03-19 00:00:00+00:00,62057.44,72840.19216706723,72840.19216706723,1,1.0
2024-03-20 00:00:00+00:00,67630.03,79381.04410147312,79381.04410147312,1,1.0
2024-03-21 00:00:00+00:00,65513.13,76896.32344914738,76896.32344914738,1,1.0
2024-03-22 00:00:00+00:00,63811.92,74899.52075608535,74899.52075608535,1,1.0
2024-03-23 00:00:00+00:00,64041.82,75169.36688862334,75169.36688862334,1,1.0
2024-03-24 00:00:00+00:00,67173.0,78844.60313603666,78844.60313603666,1,1.0
2024-03-25 00:00:00+00:00,69853.45,81990.79307062332,81990.79307062332,1,1.0
2024-03-26 00:00:00+00:00,69983.99,82144.0149677156,82144.0149677156,1,1.0
2024-03-27 00:00:00+00:00,69437.7,81502.80468609669,81502.80468609669,1,1.0
2024-03-28 00:00:00+00:00,70811.57,83115.39061958942,83115.39061958942,1,1.0
2024-03-29 00:00:00+00:00,69849.99,81986.73188045988,81986.73188045988,1,1.0
